,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,64,65,66,67,68,69,78,79
UFT.2014(L)6872,,+,+,+,+,+,+,-,+,+,+,-,w,+,+,w,+,w,,+,-,+,+,+,+,+,+,-,w,+,+,-,-,w,+,w,+,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,-,+,+,-
UFT.2014(L)6881,,+,-,+,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,+,-,,-,+,+,+,+,+,,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,-,-,-,-,+,-,+,+,-
UFT.2014(L)6882,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6883,,+,+,+,+,+,+,-,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6884,,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6885,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6886,,-,+,-,+,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6887,,-,+,-,-,-,-,-,-,-,-,w,-,+,-,-,-,-,+,w,-,-,,-,-,,w,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)6888,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,-,-,-,-,-,-,+,,,-,-,+,+,-,+,-,-,-,-,+,-,-
UFT.2014(L)6889,,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+,,,-,+,+,+,-,-,-,-,-,-,+,+,+
UFT.2014(L)6890,,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,+,-,+,-,-
UFT.2014(L)6891,,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,-,-,-,+,+,+,-
UFT.2014(L)6892,,+,+,+,+,+,+,-,w,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6893,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,+,+,+,+
UFT.2014(L)6894,,-,-,-,-,+,-,-,-,w,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6895,,+,+,+,+,+,+,-,+,+,+,w,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6901,,-,+,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6902,,+,+,+,+,+,+,-,+,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6942,,+,+,+,+,+,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,
UFT.2014(L)6944,,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,,,-,-,+,+,+,-,-,-,-,-,-,-,-
UFT.2014(L)6948,,+,+,+,+,+,+,-,-,+,+,-,-,+,+,,-,+,+,-,-,-,-,+,+,-,+,-,+,+,+,-,-,-,+,-,-,-,-,+,-,+,,,-,-,+,+,+,-,-,-,+,-,+,+,
UFT.2014(L)6950,,+,+,+,+,+,+,-,-,-,+,-,-,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,,,-,-,+,+,-,-,+,+,+,+,+,-,-
UFT.2014(L)6957,,+,+,+,+,+,+,-,+,-,+,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,+,-,+,-,+,+,+,+,,,-,-,+,+,-,-,+,-,+,-,+,+,+
UFT.2014(L)6978,,+,+,+,+,+,+,-,+,-,+,-,-,+,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,+,-,+,+,-,+,,,-,-,+,+,-,-,-,-,+,+,+,+,-
